text,label
"y k0_0\t_, is payable monthly on the\tLh.', 'day of the month, to",none
"Rent jS does / CJdoes not include utilities.', 'If it does not, utility bills will be apportioned as follows:",none
Gas/Electricity: Tenant pays\t0 o of monthly bill.,none
D Water/Garbage: Tenant pays\t° o of monthly bill.,none
Phone: Tenant pays\t0 o of monthly bill plus personal long distance calls.,none
D Other:\t\tTenant pays„\t0 o of monthly bill.,none
Conflict Resolution,none
"Each housemate will strive to develop mutual cooperation with all other housemates.', 'Should disagreements arise, each shall try to resolve the dispute in good faith using clear communication.', 'If disputes continue thereafter, the housemates agree to the following methods of conflict resolution:",none
D Decision by household consensus D Mediation by impartial third party □ Decision by household majority vote,none
Privacy,none
"""As required by law, die landlord may enter the tenant's room only for the following reasons: (a) in case of emergency; (b) to make necessary or agreed-upon repairs, decorations, or improvements, supply necessary or agreed-upon services, or exhibit the dwelling unit to prospective or actual purchasers, mortgagees, tenants, workers, or contractors; (c) when the tenant has abandoned or surrendered the premises; or (d) pursuant to court order."", 'The landlord must give the tenant b&gfs notice of intent to enter and may enter only during normal business hours, excepting by necessity, cases (a) and (c) above.",none
Deposits,arg_val
Last mop&\\(s^rent: Security deposit:,none
This “other” deposit is refundablmvithin\tdays after tenant,none
"vacates the premises.', 'If any pomonyof it is deducted, an accounting and verification of the reasonableness of the deduction will be provided.",none
"The security deposit may be used for the purpose of repairing damage for which the tenant is responsible (beyond normal wear and tear), cleaning, or paying unpaid rent or utilities.', 'The landlord and the tenant shall conduct a pre-move out inspection of the rental BEFORE the tenant moves out at which time the landlord shall inform die tenant of needed repairs and/or cleaning in WRITING.', 'The tenant shall have the right to make any repairs identified at the pre-move out inspection at his or her expense before the move out date without deduction from the security deposit.', 'Within three weeks after the tenant moves out, die landlord shall return the deposit to the tenant widi accrued interest less any deductions, if any, the landlord is entided to under diis agreement.', 'If any deductions are made, the landlord shall provide the tenant with a written itemized statement of expenses and receipts for cleaning or repairs for which deductions were made from the deposit.",arg_val
"""This residence being in the County of Santa Cruz (with the exception of Scotts Valley), simple interest will be paid annually on the security deposit and/or last month's rent to the tenant, pursuant to current local ordinance.""",arg_val
Other Agreements,none
"""Landlord Inns\tii\\e\trirjhh ~tz> -ftRm\\\\nc\\ {p dht Cnnbr^cJ'""",none
"""miuj 'Ume\tif."", 'decant\t^liJs\tk>\trm f on ntlruc.', 'ar",none
LloUlIc^ cwj\to{ h\\e\tn Lnve,none
Fill out a) or b) as it appliesoto youf situation,none
"D A) Principal Tenant D will H bias provided tenant a copy of the Condition of Rental Property Checklist, completed when houXehold first moved in.",none
Megan’s Law,none
"“Pursuant To Section 290.46 of Mie Penal Code, in/ormation about specified registered sex offenders is made available to the public via an Internet Web site tnmntained by the Department of Justice at www.meganslaw.', 'ca.gov.', 'Depending on an offender’^criminal history, this information will include either the address at which the offender resides or the community of residence and ZIP Code in which he or she resides.”",none
Lead-Based Paint Disclosure,none
\tTenant(s) acknowledge(s)/^ece\\pt of “Disclosure of Information on Lead-Based Paint or Lead-,none
"Based Paint Hazards” from landlord/agent.YRequired for homes built before 1978.)', 'Available online at",none
http://www.epa.gov/lead/pubs/Jesr_eng.pdf,none
\tTenant(s) acknowledge^) receipt of\\the pamphlet Protect Your Family from Lead in Your Home.,none
"(Required for homes built before 1978.)', 'Landlord may call 1-800-424-LEAD or go to http://www.epa.gov/lead/mibs/leadpdfe.pdf to obtain a copy of the pamphlet.",none
TENANCY AGREEMENT,none
This Tenancy Agreement is made and executed at Bangalore on this 22.01.2013 by,arg_on
MR .P .RAJA SEKHAR AGED ABOUT 28 YRS,arg_det
"S/0.MR.KRISHNA PARAMATMA PENTAKOTA R/at NESTER RAGA B-502,",none
OPP MORE MEGA STORE BANGALORE-560 048,none
"""Hereinafter called the 'OWNER' of the One Part."", 'AND",none
"MR.VENKATA BHYRAVA MURTHY MUTNURI & P/at NO.17-2-16, l/EERABHARAPURAM AGED ABOUT 26 YRS\tRAOAHMUNDRY ANDHRA PRADESH",arg_det
S/n.MR.RAGHAVENDRA RAO\t533105,arg_det
W/at CODINZANT TECHNOLOGIES BVT.LTD BANGALORE,none
"""Hereinafter called the ‘TENANT' of the Other Part.""",none
"""The terms 'Owner' and 'Tenant* shall mean and include their heirs# legal representatives# administrators# assigns of their respective parts as parties themselves wherever the context admits and includes the same.""",none
Whereas the Owner is the sole and absolute owner of the,none
"Residential property which is morefully descrmed in the schedule hereunder and at the enjoyment of.', 'the owner.', 'Whereas the Tenant for want of Residential\tpurpose approached the",none
owner to let out the premises on monthly rental and the owner agreed for the same under the following terms and conditions.,none
-2-,none
NOW THIS AGREEMENT WITNESSETH AS_FQLLCWS:,none
The tenancy shall commence from 11.04.2012 and initially valid for a period of eleven months and may be renewed with,arg_det
5 % enhanced rent for further periods before the expiry of this agreement after mutual consent between the parties.,none
"The tenant shall pay a monthly rent of Rs.', '15,000/- (Rupees",arg_val
Fifteen thousand only\t) to the owner on or,arg_val
"""-•■'before 5th of every succeeding month as per the english calendar month.""",none
"The tenant has paid a total sum of Rs.', '1,50,000/-(Rupees",arg_val
One Lakh fifty thousadn only\t) to the owner,arg_val
"towards advance/security deposit.', 'This sum shall carry no interest but refundable to the tenant at the time of vacating the premises after deductions for damages and dues if any.",none
Re painting cost =0ne M nth Rent,none
The tenant sliall pay for^the electricity charges separately,none
and water charges separately,none
The Owner/Tenant shall give to the Tenant/Cwner llU0(2 month advance notice for vacating of the premises.,none
The Tenant shall allow inspection by the owner during all reasonable hours and the tenant shall not re-lease or alter the premises and shall while vacating the same shall hand over it to the owner only in the same condition in which it was occupied save normal wear and tear.,none
The tenant shall maintain the premises in good and tenantable condition during the tenancy period.,none
"°* -*-n ^as® the tenant vacates even before the agreed period of eleven months then the owner shall deduct Rs.', '15,000/-towards brokerage",arg_notice
SCHEDULE OF THE PRExMISES,none
"rLAT no*B503, NESTER RAGA APARTMENTS, MAHADEVAPURA, 0PPSITE MORE MEGA STORE, BANGALORE-560 048",none
Consisting of 3BHK,none
"Fitted with Cfans-\t# Geyser-1 , Tlights- , Efan",none
"""IN WITNESS WHERFop +-v,\t'\t."", '.",none
on the day month1 j e\tand Tenant have signed this agreement,none
* w and year first above mentioned.,none
WITNESSES?,none
"1.', 'X r",none
\nOWNER,none
RENTAL AGREEMENT,none
This agreement of Tenancy is made and executed at Chennai on 1st day of September 2011 (1-3-2011),arg_on
BETWEEN,none
"k.Sarguneswaran, s/o G.Kasinath Rao aged about 54 years residing at No: 20/3, Venkateswara nagar, IstMain road, Velachery, Chennai - 42, Tamil Nadu.', 'Hereinafter referred as the OWNER.",arg_det
AND,none
"R.Mathankumar s/o Ramasamy aged 28 years New No:88(01d No:62), Madha kovil street, Ganesapuram, Namakkal- 637001.', 'Hereinafter referred as the TENANT.",arg_det
"whereas, the Tenant has requested the Owner, to let out the premises bearing address: No 20/3, Venkateswara nagar, 1st Main road, Velachery, Chennai - 42, Tamil Nadu.', 'In consideration of the rent hereinafter reserved and the conditions hereinafter stated.",none
Now this agreement witnesses as follows:,none
"The Tenant shall pay a monthly rent of Rs.', '7200 (Seven thousand and two hundred only) on or before 5 th day of every month.",arg_val
"The Tenant has deposited with Owner Rs.40, 000 (Forty thousand) as advance and security deposit which the Owner hereby acknowledges the said sum shall carry no interest but refundable to the Tenant on the termination of the tenancy.",arg_val
"The tenancy shall be in force for a period of eleven months from the above said date, and the month of tenancy being the English calendar month.",arg_notice
"The Owner shall have the right to terminate the tenancy if the Tenant fails to pay the rent regularly for a consecutive period of two or more months, or commits breach of any of the terms herein.",none
"The Tenant shall use the premises only for residential purpose and shall not use it for any offensive or objectionable purpose, and shall not any consent of the Owner hereby a sublet under lease or part the possession of the any whomsoever or make any alteration therein.",none
The Owner shall allow the Tenant peaceful possession of any enjoyment of the premises during the continuance of tenancy provided the Tenant acts up to the terms of this agreement.,none
"The Tenant shall not cause any damage to the fixed fixtures on the above said property.', 'Any damage cause shall be repaired at the cost of the Tenant.",none
The Tenant shall pay electricity bill of Rs 4/unit (Four only) separately.,none
It is hereby agreed that one month notice on either side is required for the termination of the tenancy,none
The tenancy shall be renewed for further period/s mutually agreed between parties on the terms and conditions.,arg_notice
"Fittings: Tube Lights: 2, Fans: 2.",none
"in witnesses whereof the parties have set their respective hands onto this agreement, of the day, the month & the year first above written.",none
Witnesses:,none
1,none
Owner,none
Tenant,none
RENTAL AGREEMENT,none
"This RENTAL AGREEMENT is made and executed at Bangalore, on this 5th day of April, 2012, between Mrs, PADMAVATI, 154/2,1st floor, 9th Cross, Byrasandra Main Road,G M Palya, Bangalore - 560 075. hereinafter called the ‘OWNER’ of one part",arg_on
"Mrs. SANGHAMITRA PARIDA, Working at: Sasken CommunicationTechnologies Ltd, 139/25, Ring Road, Domlur Bangalore 560 071, hereinafter called the ‘TENANT’ of the other part.",none
"Whereas the Tenant has Requested the Owner to let out a house, 154/2, Ground floor, 9th Cross, Byrasandra Main Road, G M Palya, Bangalore - 560 075 .In consideration of the rent hereinafter reserved and the condition herein after stated",none
NOW THIS AGREEMENT WITNESSETH AS FOLLOWS:,none
"The Tenant shall pay a monthly rent of Rs.8000 on or before 5th of every month.', 'Rent will be start from at the time of occupation The rent enhancement shall be increased at 10% after 11 months",arg_det
"The Tenant has to pay the security deposit amount of Rs.', '60000.The Tenant paid cash Rs.60000/- Dated :05/04/2012 will be paid at time of occupation The owner acknowledges the receipt of the same.', 'The security deposit amount of Rs.', '60000 shall not carry any interest but will be refundable to the Tenant on the termination of Tenancy.', 'After deducting any dues in rent/electricity/damages etc.,",arg_val
The Tenancy shall be in force for the period of (11) Months from the 5th April of 2012. month of tenancy being the English Calendar month.,arg_till
The owner shall have the right to terminate the tenancy if the tenant fails to pay the rent regularly for a consecutive period of two months or commits breach of any of the terms herein and take possession of the premises.,none
"The Tenant shall use the premises only for Residential purpose and shall not use it any offensive or objectionable purposes business etc.', 'without permission of the Owner.', 'The Tenant shall keep the premises neatly in tenentable condition and shall not make any alteration therein without permission of the Owner.Also any damges happened during the stay,the cost for the damages and assocites expenses shall be recovered in the advance or extra.",none
The Tenant shall pay Electricity and water charges separately to the concerned authority and the owner shall pay the property taxes.,none
The tenancy may be renewed for further period/s mutually agreed between the parties on the terms and conditions to be specified at that time.,none
It is hereby agreed that one-month notice on either side is required for the termination of tenancy.,arg_notice
The tenant shall pay one month rent towards painting and cleaning charges at the time of vacating the schedule premises.,none
"The foilwing fixures and accesariesr are provided by the owner in good condition,the same shall be in operatable conditions while leaving.",none
Ceiling fans-Khaitan\t3\tNos,none
Tube lights-Surya\t3\tNos,none
Exhaust fans\t1\tNo,none
Bulbs\t5\tNos,none
SCHEDULE,none
"All the piece and parcel of the house premises, 154/2, Ground floor, 9th Cross, Byrasandra Main Road, G M Palya, Bangalore - 560 075. consisting of: 1 Hall, 1 Kitchen, 2 Bed rooms, 1 Bath & Toilet.,",none
"IN WITNESS WHEREOF the parties have set their respective hands unto this agreement, the day and year first above written.",none
WITNESSES :,none
"1.', 'OWNER",none
TENANT,none
LEASE AGREEMENT,none
"This DEED OF RENTAL AGREEMENT EXECUTED AT LANGKAWI, KEDAH DARUL AMAN MALAYSIA ON 15 SEPTEMBER 2012 between",arg_det
"ROHANI BINTI ISMAIL, MALAYSIAN I.C.', 'NO.', '621118025556 who is the absolute owner of the building bearing  NO.', '73 A, KG.', 'BUKIT NAU, PADANG MATSIRAT 07100 LANGKAWI hereafter called the FIRST PARTY OF ONE PART.",none
AND,none
"SECOND PARTY NAME NAME ADDRESS.', 'Hereafter called THE SECOND PARTY OF OTHER PART WITNESSETH as follows.",none
"Whereas THE PREMISE - NO.', '73 A, KG.BUKIT NAU .PADANG MATSIRAT 07100, LANGKAWI, KEDAH DARUL AMAN is absolutely owned by the FIRST PARTY herein and,",arg_det
"WHEREAS THE SECOND PARTY approached the FIRST PARTY and requested her to let out the above said premises on monthly rent for residing purpose, the FIRST PARTY agreed to let out the above said premises under the terms and conditions hereinafter stated:-",none
"The tenancy shall begin from 01.09.2012 and shall before a duration of 12 months i.e.', '01.09.2012 to 31.08.2013.",arg_till
The monthly rent shall be RM600-00(Ringgit Malaysia Six Hundreds Only) Per Month and payable by the SECOND PARTY during the course of FIRST WEEK of every month.,none
"The FIRST PARTY acknowledges the receipt of RM1700.00 (Ringgit Malaysia One Thousand Seven Hundreds Only) paid by the SECOND PARTY in cash on signing of the rental agreement.', 'This amount shall be treated as house deposit (RM600-00), electricity-water deposit (RM500-00) and first monthly rental payment(RM600-00).', 'The house deposit and electricity-water deposit shall be returned to the SECOND PARTY on his vacation of the premises, after deducting all the amounts due and payable if any by the SECOND PARTY to the FIRST PARTY on the date of the vacation of the premises by the SECOND PARTY.', 'This amount dies not carry any interest.",none
The SECOND PARTY further agrees to use the premises for his own residing purpose only and shall not sublet the same or assign his rights of tenancy to third parties without written permission from the FIRST PARTY.,none
"The SECOND PARTY further agrees to bear the charges connected with the electricity consumes by him and also water charges etc.', 'and agrees to pay the same along with the monthly rent on monthly basis.",none
"The SECOND PARTY shall not make any structural alteration to the premises or put up partition wall etc.', 'without written permission from the FIRST PARTY and shall use the premises prudently without causing damage or deterioration to the building and hand over the premises at the expiry of the lease period to the FIRST PARTY and receive back the deposit amount RM1100.00(RINGGIT MALAYSIA ONE THOUSAND AND ONE HUNDREDS) after due deductions of the money due and payable if any be the SECOND PARTY.",none
"It is definitely understood between the parties under this contact that irrespective of the time stipulated under this lease agreement, if the SECOND PARTY commits, default in paying the monthly rent for continuous period of one month, the FIRST PARTY is at liberty to terminate the RENTAL AGREEMENT unilaterally without giving notice to the SECOND PARTY and resume possession of the premises and return the deposit amount without interest after deduction of amounts due and payable by the SECOND PARTY including all the damages and other expenses sustained by the FIRST PARTY in getting the vacant possession of the premises.",arg_notice
The SECOND PARTY shall enjoy the peaceful occupation of the premises and maintain the same in reasonable good the habitable condition.,none
"In case, the SECOND PARTY desires to vacate the premises he should give notice of ONE calendar month in writing and similarly the FIRST PARTY should give ONE month notice in writing.",none
The owner will have right to enter the let out built in area for verification or inspection of this structure at reasonable times and carry out repairs in necessary.,none
2- Signature of witness:,none
RENTAL AGREEMENT,none
"This deed of rental agreement executed at Bangalore this fifth day of December 2008 between MR.K.Kuttan S/o Kelu Aehari (Late) residing at site No 152 Geethalayam OMH colong S.M.', 'Road 1st main, T.Dasarahalli, Bangalore-57.', 'Here after called the lessor which term shall where the contest so admits mean and includes his legal heirs representatives executors and assign and Sri.', 'P.M. Narayana Namboodri “Laxmi Leela” ground floor 3rd cross Ayyappa Nagar behind Ayyappa Temple, Jalahalli West, Bangalore - 15 referred as tenant which term shall wherever the context so admits mean and includes his legal heirs representations executors assign witnesses.",arg_det
"Whereas the lessor is the absolute owner after premises at site No.', '8/20 S.M.', 'Road, Jalahalli West, Bangalore - 15 and he has constructed approximate 500 sft area of Ilnd floor with A.C. Sheet roof with power light in the above said premises.",arg_det
"Where as the owner has offered to let out the premises for non residential purpose, where as the tenant has offered to take the said premises on rent for non residential purpose namely for “MAHALAKSHMI INDUSTRIAL CONSULTANT’ and tenant is the Proprietor of the business and he has agreed to pay rent Rs.4,000.00 (Rupees Four Thousand only) for above said premises with the following terms and conditions:-",none
"The agreement made only for eleven months from this date of agreement.', 'Fresh agreement with mutual terms and conditions have to be extended (6.p.c is expecting every eleventh month).",arg_till
"The tenant shall pay the rent above said, on before 10th of each month.",none
"An advance amount of Rs.35,000/- (Rupees thirty five thousand only) is paid by the tenant to the owner at the time of commencement of this agreement, the receipt where of is hereby acknowledged signing this agreement by the owner.', 'The advance shall not carry any interest and refundable to the tenant at the time of vacating the schedule premises.', 'Any arrears of rent electricity and water dues is permissible to deduct from the advance.",arg_val
Each party shall be liable to give three month advance notice for the termination of this agreement.,none
The tenant shall pay the electricity and water charges within one week from the date of receipt of the bills.,none
the tenant shall at the termination of this agreement have to remove superstructure if any put by the tenant at his own expenses and deliver the possession to the owner in good and tenable condition.,none
The tenant shall himself obtain the license for the business top be carried on by him.,none
The tenant shall not sublet or underlet the demised portion or any part there of to any third party.,none
"The building owner shall not in any case be held responsible with for any kind of theft, burglary, fire or accident within the portion of the building.",none
"All kinds of security arrangements insurances etc., will have to be done by the tenant if necessary.",none
The tenant shall keep good relationship with neighbors.,none
SIIIDIII,none
WITNESSES,none
OWNER\tTENANT,none
1,none
RENTAL- AGREEMENT,none
"This RENTAL AGREEMENT IS made and executed on 06th day of March 2013 at Hyderabad.', 'By and between",arg_on
"Smt C.BHAGYAMMA, w/o C.GOVARDHAN REDDY, age about 52 years.', 'Occ: Housewife R/O H.N04-8-38, Manjeera Nagar, Sangareddy Mandal, Medak District, AP.",arg_det
"HEREINAFTER CALLED THE FIRST PARTY THE “OWNER” WHICH TERM SHALL MEAN AND INCLUDE ALL HIS HER HEIRS EXECUTORS.', 'ADMINISTRATORS LEGAL REPRESENTATIVES AND ASSIGNEES",none
AND,none
"M/S.', 'JP INTERIO, M/S.SRI JAYAM HOUSING & CONSTRUCTIONS & M/S.SRI JAYAM HOUSING & CONSTRUCTIONS Pvt.Ltd.', 'represented by its Managing Director & Managing partner B.JAYA PRAKASH.', 'S/O.', 'B JAGANNADHA RAO, aged about 33 years.', 'Occ Business R/O BHEL-LIG-6, Ramachandrapuram, Medak District, AP",arg_det
HEREINAFTER CALLED THE SECOND PARTY THE “TENANT” WHICH TERM SHALL MEAN AND INCLUDE ALL HIS/HER HEIRS EXECUTORS ADMINISTRATORS LEGAL REPRESENTATIVES AND ASSIGNEES,none
Contd..2..,none
..2..,none
"Whereas the second party was in search of a suitable accommodation for his business purpose by name and style of *’ M/S.', 'JP INTERIO,” & M/S.”SRI JAYAM HOUSING & CONSTRUCTIONS” M/S.SRI JAYAM HOUSING & CONSTRUCTIONS Pvt.Ltd.', ""and being satisfied with the FLAT NO 204, 2nd Floor, BR's Sharada Hema durga Galaxy, Situated Chandanagar, Hydearabad-500 050, Ranga Reddy District, Andhra Pradesh.""",none
"""Whereas the first party got the Flat No.204, llnd Floor, BR's Sharada Hema Durga Galaxy, Situated Chandanagar, Hydearabad-500 050, Ranga Reddy District, Andhra Pradesh, and offered to let out on""",none
"Rent the said Flat NO.204, llnd Floor, BR Sharada Hema durga Galaxy, situated at Chandanagar, Hyderabad-500 050, Ranga Reddy District, Andhra Pradesh, to the second party for his business",none
Purpose on the terms and conditions agreed upon by both the parties as mentioned below.,none
NOW THE AGREEMENT WITHNESSESTH AS UNDER,none
This tenancy is for a period of 11 months commencing from 06th day of April 2013 the date on which possession of the said flat is delivered and time to time it will be extended the tenancy period with consent of both parties,arg_till
"The monthly Flat Rent is of RS.', '13,000/- (Rupees Thirteen Thousand Only) per month and payable within the 10th day of same month.",arg_val
"The tenant paid an amount of Rs.36,000/- (Rupees Thirty Six Thousand Only) by the way of cash as the advance which will not carry any interest and is refundable at the time of vacating the said Flat.",arg_val
The tenant shall pay the electricity charges & maintenance charges of the said flat regularly without any dues.,none
The first arty desires to terminate the tenancy for any reason or the second arty desires to vacate the said Flat can be terminated by ONE month notice on either side.,arg_notice
The sad flat will be used only for Business purpose and it will be in a proper Tenantable Condition.,none
"The said Flat shall keep the premises with all fixtures Electrical installations etc...', 'In condition as it is let subject to reasonable wear & tear.",none
That the tenant herein shall not store any dangerous or highly inflammable material in the demised premises at any time.,none
"At all times, during the term of tenancy to keep and maintain the premises clean, Tidy, Healthy in and watertight in all seasons and further in good and substantial repair reasonable wear & tear expected.",none
The terms and conditions arrived at above by both the parties are with their own free will and consent and without any coercion or dues from anybody.,none
WITNESSES:\tOWNER,none
l.,none
TENANT,none
RENTAL AGREEMENT,none
"This Agreement of Tenancy is made and executed at Bangalore, on this the 1st day of February 2008, by and between",arg_on
Mr. T.RADHA KRISHNAN,arg_det
"No-57,1st floor,’’Hemalaya”, Golf view layout Murugeshpalya, Bangalore-17",none
"Hereinafter referred to as the OWNER of the one part, and",none
Mr.AIilllJIT BHARADWAJ,arg_det
"C/oS.R.S.Sharath, No-401",arg_det
"Shri ram shankari Apt, Banashankari",none
"3rd stage, Kathiguppe, Bangalore-85",none
Ph-080-26727961,none
Mobile: 9886463146,none
"Working for i2 Technologies India Pvt, Ltd. #132/133, Divya sree Technopolis, Yamalur post, off airport Road, Bangalore-37",none
Hereinafter referred to as the TENANT of the Other Part.,none
Consideration of the rent hereinafter reserved and the conditions hereinafter stated.,none
NOW THIS AGREEMENT WITNESSETH AS FOLLOWS:,none
"The tenant shall pay a monthly rent of Rs.3,500/-(Rupees Three Thousand Five Hundred Only) on or before 5th of every month.', 'Including Maintenance charges (water& Electricity).",arg_val
"The tenant has deposited with owner Rs.20,000/- (Rupees Twenty Thousand Only) by way of Cash, as advance and security deposit which sum the owner hereby acknowledges.', 'The said sum shall carry no interest but refundable to the tenant on the termination of the tenancy.",arg_val
"The tenancy shall be in force for a period of Eleven Months commencing from 1st day of February 2008, and the month of tenancy being the English calendar month.",arg_till
The owner shall have the right to terminate the tenancy if the tenant fails to pay the rents regularly for a consecutive period of three months commits breach of any of the terms herein and take possession of the residence.,none
"The tenant shall use the premises only for Residential purpose and shall not use it for any offensive or objectionable purpose and shall not without the written consent of the owner sublet under lease or part with the possession of the premises any whosoever or make any alterations therein.', 'He shall return possession of the house in as such condition as it was let out to him save normal wear and tear and shall allow the owner or his authorized agent to inspect the house at all reasonable times but with prior intimation.",none
The owner shall allow the tenant peaceful possession and enjoyment of the premises during the continuance of the tenancy provided the tenant acts up to the terms of this agreement.,none
The owner shall pay property taxes.,none
The tenancy may be renewed for further period /s mutually agrees between the parties on the terms and conditions to be specified at the time.,none
It is hereby agreed that One month notice on either side is required for the termination of the tenancy.,arg_notice
"The tenant shall not cause any damage to fixed fixtures and fittings of the above said property the tenant should return back the premises in good condition, as it let out any damages caused owner have right to deduct the amount.",none
After the expiry of 11 months the tenant is herein agreed to pay 5% of enhancement of the existing rent.,arg_till
SCI!I I)I I I,none
"The premises at No-57,2nd floor,’’Hemalaya”, Golf view layout, Murugeshpalya, Bangalore-17",none
"Premises Consist of Single room, Attached Bathroom & Toilet, two wheeler parking having a super built up area of\tsq.ft.",none
"Fittings Fan -1 Nos, Tube lights -1 Nos, Bulps-2 Nos.",none
"IN WITNESS WHEREOF, the parties have set their respective hand unto this agreement, the day, month, year first above written.",none
WITNESS:,none
"1.', 'Jagdish",none
Bangalore Homes,none
"No.5, RifcoSanthosh Apartments\t(OWNER)",none
"NAL Road, Murugeshpalya Bangalore-560017",none
"""PH-9844495539', 9845444484""",none
"2.', 'Babu",none
9448030266,none
(TENANT),none
"THIS RENTAL AGREEMENT is made on this, the March 22nd day 2013 (TWO THOUSAND Thirteen) at Chennai.",arg_on
BETWEEN,none
"Mr.Kamal, aged about 32 years, son of Appar Sundar residing at Pursawalkam, Kosapt Chennai-12 , hereinafter called the ""LESSOR"" which term shall mean and include whatever the context so admits and permits his legal heirs, legal representative, executors, administrators and assigns of ONE PART and represented by his father/mother -POA agent (in case of power of attorney), Appar, aged about 62 years residing at Pursawalkam, , Chennai — 600 012, as agent as per adjudicated power of attorney dated 22.03.13",arg_det
AND,none
"Mr.V.Arun Kumar S/O of Mr.Veda Chalam, hereinafter called the ""LESSEE"" which term shall mean and include whatever the context so admits and permits his legal heirs, legal representative, executors, administrators and assigns of OTHER PART.",arg_det
"WHEREAS the LESSOR herein is the sole and absolute owner of all that piece and parcel of the residential flat, Old No.97, Kanda Swamy Koil street, Kosapet, Pursawalkam Chennai 600012 and more particularly described in the SCHEDULE hereunder.",none
AND WHEREAS THE LESSEE has approached the LESSOR to demise the SCHEULE mentioned FLAT on Monthly rental basis for Residential purpose for a period of 12 months on the terms and conditions hereinafter mentioned and the LESSOR has also herby agreed to demise the SCHEDULE mentioned FLAT to the LESSEE on a monthly rental on the following terms and condition.,arg_det
NOW THIS LEASE AGREEMENT WITNESSTH AS FOLLOWS:,none
"The Lease shall be initially for a period of 12 months, commencing from 23.03.13 and",arg_till
"shall expire on the 23.03.14, upon completion of 12 months.",arg_till
"The Lease is strictly for Residential purpose to accommodate the occupier of the LESSEE.', 'The Lease is according to the English Calendar Month.",none
The LESSEE has agreed to pay the Monthly Amenity charges on or before 5th day of the every succeeding month for the demised property more fully described in the SCHEDULE hereunder in the following manner.,none
Rs 15000.00 per month (Rupees Twelve Thousand only) towards Rent.,arg_val
Rs 100000 (Rupees One lakh only) as one time interest free deposit to be paid by the LESSEE at the time of taking possession of the premises and refunded by the LESSOR at the time of receiving vacant possession of the premises (Refer Point 16 for details),arg_val
"Apart from the monthly rent, the LESSEE shall pay Maintenance Charges (Rs 1000 per month, directly paid to Mr.Kamal), Electricity Consumption charges (At actuals) and Water Charges (Rs.500/month) if any to the authorities concerned.', 'The Maintenance charge relates to charges and expenses incurred for the maintenance of the premises such as maintenance of common area, electricity, charges relating to common area and salaries paid to the servants for the maintenance of the Building.",none
